User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
Shivam mishra,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-09 19:51:30
Shivam mishra,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-09 19:52:09
Shivam mishra,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-09 19:52:25
Shivam mishra,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-09 19:52:43
hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-09 19:53:28
he;;o,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-09 19:53:38
helloji,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-09 19:53:47
shivam,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-09 20:00:05
